iter	Passed	Remaining
0	0	86
1	1	75
2	2	69
3	2	65
4	3	63
5	4	64
6	4	64
7	5	62
8	6	61
9	6	59
10	7	58
11	7	58
12	8	57
13	9	57
14	9	56
15	10	54
16	11	54
17	11	53
18	12	52
19	12	51
20	13	50
21	14	50
22	14	49
23	15	48
24	15	47
25	16	47
26	17	46
27	17	45
28	18	45
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	21	40
35	22	40
36	23	39
37	24	39
38	24	38
39	25	37
40	25	37
41	26	36
42	27	36
43	27	35
44	28	34
45	29	34
46	29	33
47	30	32
48	31	32
49	31	31
50	32	31
51	33	30
52	33	29
53	34	29
54	35	28
55	35	28
56	36	27
57	37	27
58	38	26
59	39	26
60	39	25
61	40	24
62	40	23
63	41	23
64	42	22
65	42	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	10
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	60	3
94	61	3
95	62	2
96	63	1
97	63	1
98	64	0
99	65	0
