iter	Passed	Remaining
0	1	1122
1	1	940
2	2	877
3	3	817
4	4	796
5	4	783
6	5	771
7	6	757
8	6	761
9	7	752
10	8	752
11	9	747
12	9	736
13	10	728
14	11	725
15	11	721
16	12	717
17	13	711
18	13	707
19	14	709
20	15	709
21	15	706
22	16	702
23	17	700
24	18	705
25	18	702
26	19	700
27	20	695
28	20	694
29	21	691
30	22	692
31	22	689
32	23	687
33	24	684
34	24	682
35	25	679
36	26	678
37	26	677
38	27	675
39	28	676
40	29	682
41	29	683
42	30	684
43	31	681
44	32	680
45	32	683
46	33	680
47	34	677
48	34	676
49	35	677
50	36	676
51	36	674
52	37	673
53	38	672
54	39	671
55	39	671
56	40	669
57	41	668
58	41	665
59	42	664
60	43	662
61	43	662
62	44	662
63	45	662
64	46	663
65	46	661
66	47	661
67	48	662
68	49	661
69	49	661
70	50	660
71	51	661
72	52	663
73	53	663
74	53	663
75	54	663
76	55	665
77	56	667
78	57	666
79	57	664
80	58	662
81	58	660
82	59	656
83	60	655
84	60	653
85	61	651
86	61	648
87	62	645
88	62	644
89	63	642
90	64	639
91	64	637
92	65	635
93	65	633
94	66	630
95	66	628
96	67	626
97	67	624
98	68	623
99	68	620
100	69	619
101	70	617
102	70	616
103	71	613
104	71	611
105	72	615
106	73	614
107	74	612
108	74	611
109	75	611
110	76	609
111	76	607
112	77	605
113	77	604
114	78	603
115	78	601
116	79	598
117	79	596
118	80	595
119	80	593
120	81	591
121	81	589
122	82	587
123	82	585
124	83	583
125	83	581
126	84	579
127	84	578
128	85	577
129	86	575
130	86	574
131	87	572
132	87	571
133	88	570
134	88	568
135	89	568
136	90	568
137	90	566
138	91	566
139	92	565
140	92	565
141	93	562
142	93	561
143	94	560
144	94	558
145	95	557
146	95	555
147	96	553
148	96	552
149	97	551
150	97	549
151	98	548
152	98	547
153	99	546
154	99	544
155	100	543
156	101	543
157	101	542
158	102	541
159	102	539
160	103	537
161	103	536
162	104	535
163	105	535
164	105	534
165	106	533
166	106	532
167	107	531
168	107	530
169	108	529
170	108	528
171	109	527
172	110	526
173	110	525
174	111	523
175	111	522
176	112	521
177	112	520
178	113	519
179	113	518
180	114	517
181	114	516
182	115	515
183	115	514
184	116	513
185	116	512
186	117	510
187	118	509
188	118	508
189	118	507
190	119	506
191	120	505
192	120	504
193	121	503
194	121	502
195	122	501
196	122	500
197	123	499
198	123	498
199	124	497
200	124	496
201	125	495
202	125	494
203	126	493
204	127	492
205	127	491
206	128	490
207	128	490
208	129	489
209	129	487
210	130	486
211	130	486
212	131	485
213	132	484
214	132	484
215	133	483
216	133	482
217	134	482
218	134	481
219	135	480
220	136	479
221	136	478
222	137	477
223	137	476
224	138	475
225	138	474
226	139	474
227	139	473
228	140	472
229	140	471
230	141	470
231	141	469
232	142	468
233	143	468
234	143	467
235	144	466
236	144	465
237	145	464
238	145	464
239	146	463
240	146	462
241	147	461
242	147	460
243	148	459
244	148	458
245	149	458
246	150	457
247	150	456
248	151	455
249	151	454
250	152	453
251	152	452
252	153	451
253	153	451
254	154	450
255	154	449
256	155	448
257	155	447
258	156	447
259	156	446
260	157	446
261	158	445
262	158	444
263	159	443
264	159	442
265	159	441
266	160	440
267	160	439
268	161	438
269	161	437
270	162	436
271	162	436
272	163	435
273	163	434
274	164	434
275	165	433
276	165	433
277	166	432
278	166	431
279	167	430
280	167	429
281	168	428
282	168	427
283	169	426
284	169	425
285	170	425
286	170	424
287	171	423
288	171	422
289	172	421
290	172	420
291	173	419
292	173	418
293	174	418
