iter	Passed	Remaining
0	141	141759
1	142	71130
2	143	47534
3	143	35824
4	144	28762
5	145	24053
6	145	20674
7	146	18143
8	146	16174
9	147	14587
10	147	13294
11	148	12221
12	148	11312
13	149	10526
14	149	9843
15	150	9247
16	150	8723
17	151	8257
18	151	7837
19	152	7459
20	152	7119
21	153	6808
22	153	6524
23	154	6265
24	154	6025
25	154	5804
26	155	5600
27	155	5410
28	156	5233
29	156	5068
30	157	4917
31	157	4776
32	158	4639
33	158	4511
34	159	4389
35	159	4277
36	160	4171
37	160	4069
38	161	3974
39	161	3883
40	162	3797
41	162	3717
42	163	3639
43	164	3564
44	164	3493
45	165	3425
46	165	3363
47	166	3301
48	166	3240
49	167	3181
50	167	3124
51	168	3070
52	168	3017
53	169	2967
54	169	2917
55	170	2870
56	170	2824
57	171	2780
58	171	2738
59	172	2698
60	172	2659
61	173	2621
62	173	2584
63	174	2548
64	174	2515
65	175	2481
66	175	2448
67	176	2416
68	176	2386
69	177	2356
70	177	2327
71	178	2299
72	178	2272
73	179	2247
74	180	2221
75	180	2195
76	181	2170
77	181	2146
78	182	2122
79	182	2100
80	183	2078
81	183	2056
82	184	2032
83	184	2011
84	185	1991
85	185	1971
86	186	1952
87	186	1934
88	187	1915
89	187	1897
90	188	1879
91	188	1862
92	189	1844
93	189	1827
94	190	1810
95	190	1794
96	191	1778
97	191	1762
98	191	1746
99	192	1731
100	192	1716
101	193	1701
102	193	1687
103	194	1673
104	194	1659
105	195	1645
106	195	1632
107	196	1620
108	196	1607
109	197	1595
110	197	1583
111	198	1571
112	198	1559
113	199	1547
114	199	1536
115	200	1525
116	200	1513
117	200	1502
118	201	1491
119	201	1481
120	202	1470
121	202	1459
122	203	1449
123	203	1439
124	204	1429
125	204	1420
126	205	1410
127	205	1400
128	206	1391
129	206	1383
130	207	1374
131	207	1366
132	208	1357
133	208	1349
134	209	1340
135	209	1332
136	210	1323
137	210	1315
138	211	1308
139	211	1300
140	212	1292
141	212	1283
142	212	1275
143	213	1268
144	213	1261
145	214	1254
146	214	1247
147	215	1240
148	215	1233
149	216	1227
150	216	1220
151	217	1213
152	217	1206
153	218	1199
154	218	1193
155	219	1187
156	219	1180
157	220	1174
158	221	1168
159	221	1163
160	221	1156
161	222	1150
162	222	1144
163	223	1138
164	223	1133
165	224	1128
166	225	1122
167	225	1117
168	226	1111
169	226	1106
170	227	1100
171	227	1095
172	228	1090
173	228	1085
174	229	1079
175	229	1074
176	230	1069
177	230	1064
178	231	1060
179	231	1055
180	232	1050
181	232	1045
182	233	1041
183	233	1037
184	234	1032
185	235	1028
186	235	1024
187	236	1020
188	236	1015
189	237	1011
190	237	1007
191	238	1003
192	238	999
193	239	995
194	240	991
195	240	987
196	241	983
197	241	978
198	242	975
199	242	971
200	243	967
201	244	964
202	244	960
203	245	956
204	245	952
205	246	948
206	246	945
207	247	941
208	247	938
209	248	934
210	248	930
211	249	927
212	250	923
213	250	920
214	251	916
215	251	913
216	252	909
217	252	906
218	253	902
219	253	899
220	254	896
221	254	892
222	255	889
223	255	886
224	256	882
225	256	879
226	257	876
227	257	873
228	258	870
229	259	867
230	259	864
231	260	861
232	260	858
233	261	855
234	261	852
235	262	849
236	262	846
237	263	843
238	264	841
239	264	838
240	265	835
